GENE	GENE_ENTREZ	ONCOGENE	TSG	DRIVER	CANONICAL_DRIVER	ONCOGENE_EVIDENCES	TSG_EVIDENCES
ATP5MPL	9556	FALSE	FALSE	TRUE	FALSE	0	0
ATP5PD	10476	FALSE	FALSE	TRUE	FALSE	0	0
ATP6AP1	537	FALSE	FALSE	TRUE	FALSE	0	0
ATP6V0B	533	FALSE	FALSE	TRUE	FALSE	0	0
ATP6V0E1	8992	FALSE	FALSE	TRUE	FALSE	0	0
ATP6V1B2	526	FALSE	FALSE	TRUE	FALSE	0	0
ATP6V1G2	534	FALSE	FALSE	TRUE	FALSE	0	0
ATP8B1	5205	FALSE	FALSE	TRUE	FALSE	0	0
ATP8B2	57198	FALSE	FALSE	TRUE	FALSE	0	0
ATR	545	FALSE	TRUE	TRUE	TRUE	0	1
ATRX	546	FALSE	TRUE	TRUE	TRUE	0	3
ATXN1	6310	FALSE	FALSE	TRUE	FALSE	0	0
ATXN3	4287	FALSE	FALSE	TRUE	FALSE	0	0
ATXN3L	92552	FALSE	FALSE	TRUE	FALSE	0	0
AURKA	6790	FALSE	FALSE	TRUE	FALSE	0	0
AVL9	23080	FALSE	FALSE	TRUE	FALSE	0	0
AXIN1	8312	FALSE	TRUE	TRUE	TRUE	0	3
AXIN2	8313	FALSE	TRUE	TRUE	TRUE	0	1
AZGP1	563	FALSE	FALSE	TRUE	FALSE	0	0
AZI2	64343	FALSE	FALSE	TRUE	FALSE	0	0
AZIN1	51582	FALSE	FALSE	TRUE	FALSE	0	0
B2M	567	FALSE	TRUE	TRUE	TRUE	0	2
B3GALT6	126792	FALSE	FALSE	TRUE	FALSE	0	0
B3GLCT	145173	FALSE	FALSE	TRUE	FALSE	0	0
B4GALT3	8703	FALSE	FALSE	TRUE	FALSE	0	0
BABAM1	29086	FALSE	FALSE	TRUE	FALSE	0	0
BABAM2	9577	FALSE	FALSE	TRUE	FALSE	0	0
BACH2	60468	FALSE	FALSE	TRUE	FALSE	0	0
BAG4	9530	FALSE	FALSE	TRUE	FALSE	0	0
BAGE2	85319	FALSE	FALSE	TRUE	FALSE	0	0
BANF2	140836	FALSE	FALSE	TRUE	FALSE	0	0
BAP1	8314	FALSE	TRUE	TRUE	TRUE	0	3
BARD1	580	FALSE	TRUE	TRUE	TRUE	0	1
BAX	581	FALSE	TRUE	TRUE	TRUE	0	1
BAZ1A	11177	FALSE	TRUE	TRUE	TRUE	0	1
BAZ2A	11176	FALSE	FALSE	TRUE	FALSE	0	0
BAZ2B	29994	FALSE	FALSE	TRUE	FALSE	0	0
BBX	56987	FALSE	FALSE	TRUE	FALSE	0	0
BCL10	8915	FALSE	TRUE	TRUE	TRUE	0	1
BCL11A	53335	TRUE	FALSE	TRUE	TRUE	1	0
BCL11B	64919	FALSE	FALSE	TRUE	TRUE	1	1
BCL2	596	TRUE	FALSE	TRUE	TRUE	2	0
BCL2L10	10017	FALSE	FALSE	TRUE	FALSE	0	0
BCL2L11	10018	FALSE	FALSE	TRUE	FALSE	0	0
BCL2L12	83596	TRUE	FALSE	TRUE	TRUE	1	0
BCL3	602	TRUE	FALSE	TRUE	TRUE	1	0
BCL6	604	TRUE	FALSE	TRUE	TRUE	1	0
BCL7A	605	FALSE	FALSE	TRUE	FALSE	0	0
BCL9	607	TRUE	FALSE	TRUE	TRUE	1	0
BCL9L	283149	FALSE	FALSE	TRUE	TRUE	1	1
BCLAF1	9774	FALSE	FALSE	TRUE	TRUE	0	0
BCOR	54880	FALSE	TRUE	TRUE	TRUE	0	3
BCORL1	63035	FALSE	FALSE	TRUE	TRUE	1	1
BCR	613	FALSE	FALSE	TRUE	FALSE	0	0
BHLHE41	79365	FALSE	FALSE	TRUE	FALSE	0	0
BHMT2	23743	FALSE	FALSE	TRUE	FALSE	0	0
BICRA	29998	FALSE	FALSE	TRUE	FALSE	0	0
BIRC3	330	FALSE	FALSE	TRUE	TRUE	1	1
BIRC6	57448	TRUE	FALSE	TRUE	TRUE	1	0
BLCAP	10904	FALSE	FALSE	TRUE	FALSE	0	0
BLK	640	FALSE	FALSE	TRUE	FALSE	0	0
BLM	641	FALSE	TRUE	TRUE	TRUE	0	1
BMP5	653	FALSE	FALSE	TRUE	TRUE	0	0
BMP7	655	FALSE	FALSE	TRUE	FALSE	0	0
BMPR1A	657	FALSE	FALSE	TRUE	TRUE	1	1
BMPR2	659	FALSE	FALSE	TRUE	FALSE	0	0
BNC2	54796	FALSE	FALSE	TRUE	FALSE	0	0
BOC	91653	FALSE	FALSE	TRUE	FALSE	0	0
BOD1	91272	FALSE	FALSE	TRUE	FALSE	0	0
