GENE	CNA	GENIE_CNT	GENIE_FREQ	SAMPLES
TMEM127	DEL	7	6.49863064568537e-05	107715
CDK5	DEL	2	6.29802242095982e-05	31756
COL7A1	AMP	2	6.29802242095982e-05	31756
DEPDC5	AMP	2	6.29802242095982e-05	31756
EGLN1	DEL	2	6.29802242095982e-05	31756
EXT1	DEL	2	6.29802242095982e-05	31756
FAN1	AMP	2	6.29802242095982e-05	31756
ITK	AMP	2	6.29802242095982e-05	31756
LINC00894	AMP	2	6.29802242095982e-05	31756
MCM8	DEL	2	6.29802242095982e-05	31756
MUS81	DEL	2	6.29802242095982e-05	31756
NEIL3	AMP	2	6.29802242095982e-05	31756
PNKP	DEL	2	6.29802242095982e-05	31756
PRPF40B	AMP	2	6.29802242095982e-05	31756
PSMD13	AMP	2	6.29802242095982e-05	31756
PTK2	DEL	2	6.29802242095982e-05	31756
RHPN2	DEL	2	6.29802242095982e-05	31756
RIF1	AMP	2	6.29802242095982e-05	31756
RNF8	DEL	2	6.29802242095982e-05	31756
RPA1	DEL	2	6.29802242095982e-05	31756
SQSTM1	DEL	2	6.29802242095982e-05	31756
TAL1	DEL	2	6.29802242095982e-05	31756
TCF7L1	AMP	2	6.29802242095982e-05	31756
TLX3	DEL	2	6.29802242095982e-05	31756
UROD	DEL	2	6.29802242095982e-05	31756
WAS	DEL	2	6.29802242095982e-05	31756
XRCC4	AMP	2	6.29802242095982e-05	31756
MAF	AMP	2	5.73904559671727e-05	34849
BCL2L1	DEL	6	5.21979694989865e-05	114947
PTPN11	DEL	7	5.14501594954944e-05	136054
REL	DEL	7	5.14501594954944e-05	136054
XPO1	DEL	7	5.14501594954944e-05	136054
SF3B1	DEL	7	5.09539303678146e-05	137379
MDM2	DEL	7	5.07989956312864e-05	137798
FANCE	DEL	3	4.93380478579064e-05	60805
FANCL	DEL	3	4.88352786052644e-05	61431
RIT1	DEL	6	4.59537705068701e-05	130566
ARID4A	AMP	1	4.37617609732616e-05	22851
BACH2	AMP	1	4.37617609732616e-05	22851
CD28	DEL	1	4.37617609732616e-05	22851
DDX41	DEL	1	4.37617609732616e-05	22851
EGR2	AMP	1	4.37617609732616e-05	22851
H1-5	DEL	1	4.37617609732616e-05	22851
H2AC16	DEL	1	4.37617609732616e-05	22851
KSR2	AMP	1	4.37617609732616e-05	22851
MYBBP1A	AMP	1	4.37617609732616e-05	22851
NUP98	AMP	1	4.37617609732616e-05	22851
NXF1	DEL	1	4.37617609732616e-05	22851
PLCG1	AMP	1	4.37617609732616e-05	22851
PRKCB	DEL	1	4.37617609732616e-05	22851
RPS15	AMP	1	4.37617609732616e-05	22851
RPS19	AMP	1	4.37617609732616e-05	22851
SETD1B	AMP	1	4.37617609732616e-05	22851
SMG1	DEL	1	4.37617609732616e-05	22851
SRCAP	AMP	1	4.37617609732616e-05	22851
TRAF5	DEL	1	4.37617609732616e-05	22851
ZNF318	AMP	1	4.37617609732616e-05	22851
SERP2	AMP	1	3.96102352847976e-05	25246
SMARCA1	AMP	1	3.96102352847976e-05	25246
SOCS2	AMP	1	3.96102352847976e-05	25246
MDM4	DEL	5	3.62849968794903e-05	137798
FANCM	DEL	2	3.61552506462751e-05	55317
ABCB11	AMP	1	3.14901121047991e-05	31756
ABCB11	DEL	1	3.14901121047991e-05	31756
BRD3	AMP	1	3.14901121047991e-05	31756
BRD3	DEL	1	3.14901121047991e-05	31756
BUB1B	AMP	1	3.14901121047991e-05	31756
CBFA2T3	AMP	1	3.14901121047991e-05	31756
